Objects
100
,,Global Angle UAV_6_4:UAV_6_4,,,,,,Global Angle pendulum:pendulum,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,-1.45925,2.77723,-0.0153155,133.061,-98.6396,951.44,,,,,,
2,0,-1.45793,2.77889,-0.016726,132.998,-98.8495,951.557,,,,,,
3,0,-1.45709,2.77898,-0.0158489,132.98,-99.1229,951.476,,,,,,
4,0,-1.45681,2.77927,-0.0156202,133.018,-99.3968,951.381,,,,,,
5,0,-1.45788,2.77879,-0.0150783,132.956,-99.6486,951.29,,,,,,
6,0,-1.45799,2.77825,-0.0152941,132.872,-100.055,951.126,,,,,,
7,0,2.7798,1.46476,-0.0482326,131.821,-98.9383,950.622,,,,,,
8,0,2.77894,1.46251,-0.0480154,131.705,-99.2299,950.508,,,,,,
9,0,2.77869,1.4629,-0.0460087,131.467,-99.6698,950.336,,,,,,
10,0,2.77959,1.46375,-0.0465033,131.559,-99.8426,950.104,,,,,,
11,0,2.77942,1.46222,-0.0463777,131.378,-100.052,949.925,,,,,,
12,0,2.7787,1.46347,-0.0475855,131.191,-100.359,949.816,,,,,,
13,0,2.77716,1.46016,-0.0474234,131.033,-100.418,949.621,,,,,,
14,0,2.77654,1.45985,-0.0474963,130.852,-100.656,949.415,,,,,,
15,0,2.77594,1.45966,-0.0461872,130.723,-100.992,949.137,,,,,,
16,0,2.77473,1.45757,-0.045736,130.565,-101.273,949.012,,,,,,
17,0,2.77511,1.45894,-0.0464365,130.551,-101.616,948.623,,,,,,
18,0,2.77493,1.45819,-0.0496257,130.563,-101.798,948.433,,,,,,
19,0,2.77584,1.45681,-0.0524057,130.416,-102.076,948.24,,,,,,
20,0,2.77642,1.45707,-0.0531722,130.305,-102.341,948.009,,,,,,
21,0,2.7735,1.45352,-0.0540077,130.213,-102.539,947.761,,,,,,
22,0,2.77331,1.45221,-0.0542808,130.068,-102.882,947.527,,,,,,
23,0,2.77464,1.45205,-0.0548176,129.863,-103.024,947.382,,,,,,
24,0,2.77402,1.45168,-0.0560212,129.648,-103.183,947.099,,,,,,
25,0,2.77647,1.45351,-0.0573638,129.545,-103.424,946.819,,,,,,
26,0,2.77568,1.45332,-0.0572855,129.383,-103.708,946.476,,,,,,
27,0,2.77546,1.45326,-0.0576121,129.104,-103.925,946.247,,,,,,
28,0,2.77623,1.45144,-0.0571601,128.939,-103.984,946.05,,,,,,
29,0,2.77617,1.45005,-0.0548142,128.681,-104.39,945.692,,,,,,
30,0,2.77725,1.45119,-0.0527612,128.543,-104.637,945.409,,,,,,
31,0,2.77906,1.45308,-0.0501805,128.359,-105.011,944.872,,,,,,
32,0,2.77875,1.45171,-0.0519945,127.958,-105.061,944.629,,,,,,
33,0,2.77885,1.45157,-0.0508177,127.718,-105.242,944.367,,,,,,
34,0,2.7792,1.45101,-0.0508322,127.493,-105.481,944.122,,,,,,
35,0,2.77887,1.45082,-0.0518564,127.278,-105.639,943.855,,,,,,
36,0,2.77923,1.45012,-0.0531759,127.091,-105.89,943.488,,,,,,
37,0,2.779,1.44985,-0.0555754,126.876,-106.038,943.175,,,,,,
38,0,2.77965,1.44974,-0.0555623,126.646,-106.245,942.797,,,,,,
39,0,2.78133,1.44973,-0.0563232,126.439,-106.421,942.514,,,,,,
40,0,2.78068,1.44868,-0.0544616,126.117,-106.645,942.244,,,,,,
41,0,2.78168,1.44762,-0.0548723,125.838,-106.876,941.865,,,,,,
42,0,2.78178,1.44851,-0.0546148,125.669,-107.074,941.536,,,,,,
43,0,2.78286,1.44729,-0.0537047,125.403,-107.404,941.122,,,,,,
